  10/240局 行1381（main 890） 棄却0 107s
  20/240局 行2549（main 1620） 棄却1 217s
  30/240局 行3915（main 2465） 棄却1 326s
  40/240局 行5317（main 3369） 棄却1 446s
  50/240局 行6801（main 4292） 棄却1 543s
  60/240局 行8072（main 5078） 棄却1 632s
  70/240局 行9353（main 5877） 棄却1 735s
  80/240局 行10735（main 6765） 棄却1 843s
  90/240局 行11960（main 7543） 棄却1 923s
  100/240局 行13234（main 8361） 棄却1 1021s
  110/240局 行14631（main 9277） 棄却1 1125s
  120/240局 行16153（main 10265） 棄却1 1199s
  130/240局 行17550（main 11115） 棄却1 1281s
  140/240局 行18893（main 11971） 棄却1 1387s
  150/240局 行20141（main 12756） 棄却1 1448s
  160/240局 行21410（main 13556） 棄却1 1515s
  170/240局 行22715（main 14399） 棄却1 1627s
  180/240局 行23949（main 15158） 棄却1 1715s
  190/240局 行25278（main 16014） 棄却1 1799s
  200/240局 行26660（main 16870） 棄却1 1902s
  210/240局 行28381（main 17907） 棄却1 1993s
  220/240局 行29822（main 18830） 棄却1 2154s
  230/240局 行30984（main 19580） 棄却1 2264s
  240/240局 行32224（main 20380） 棄却2 2555s
N_RECORD_DONE {"rows": 32224, "main_rows": 20380, "dropped": 2}
